total_bill,tip,sex,smoker,day,time,size,discount_bill,tip_category
16.31,2.0,Male,No,Sat,Dinner,3,14.678999999999998,Medum
16.93,3.07,Female,No,Sat,Dinner,3,15.237,Medum
18.69,2.31,Male,No,Sat,Dinner,3,16.821,Medum
31.27,5.0,Male,No,Sat,Dinner,3,28.143,High
16.04,2.24,Male,No,Sat,Dinner,3,14.436,Medum
17.46,2.54,Male,No,Sun,Dinner,2,15.714,Medum
13.94,3.06,Male,No,Sun,Dinner,2,12.546,Medum
9.68,1.32,Male,No,Sun,Dinner,2,8.712,Low
30.4,5.6,Male,No,Sun,Dinner,4,27.36,High
18.29,3.0,Male,No,Sun,Dinner,2,16.461,Medum
22.23,5.0,Male,No,Sun,Dinner,2,20.007,High
32.4,6.0,Male,No,Sun,Dinner,4,29.16,High
28.55,2.05,Male,No,Sun,Dinner,3,25.695,Medum
18.04,3.0,Male,No,Sun,Dinner,2,16.236,Medum
12.54,2.5,Male,No,Sun,Dinner,2,11.286,Medum
10.29,2.6,Female,No,Sun,Dinner,2,9.261,Medum
34.81,5.2,Female,No,Sun,Dinner,4,31.329000000000004,High
9.94,1.56,Male,No,Sun,Dinner,2,8.946,Low
25.56,4.34,Male,No,Sun,Dinner,4,23.003999999999998,Medum
19.49,3.51,Male,No,Sun,Dinner,2,17.541,Medum
38.01,3.0,Male,Yes,Sat,Dinner,4,34.208999999999996,Medum
26.41,1.5,Female,No,Sat,Dinner,2,23.769000000000002,Low
11.24,1.76,Male,Yes,Sat,Dinner,2,10.116,Low
48.27,6.73,Male,No,Sat,Dinner,4,43.443000000000005,High
20.29,3.21,Male,Yes,Sat,Dinner,2,18.261,Medum
13.81,2.0,Male,Yes,Sat,Dinner,2,12.429,Medum
11.02,1.98,Male,Yes,Sat,Dinner,2,9.918,Low
18.29,3.76,Male,Yes,Sat,Dinner,4,16.461,Medum
17.59,2.64,Male,No,Sat,Dinner,3,15.831,Medum
20.08,3.15,Male,No,Sat,Dinner,3,18.072,Medum
16.45,2.47,Female,No,Sat,Dinner,2,14.805,Medum
3.07,1.0,Female,Yes,Sat,Dinner,1,2.763,Low
20.23,2.01,Male,No,Sat,Dinner,2,18.207,Medum
15.01,2.09,Male,Yes,Sat,Dinner,2,13.509,Medum
12.02,1.97,Male,No,Sat,Dinner,2,10.818,Low
17.07,3.0,Female,No,Sat,Dinner,3,15.363000000000001,Medum
26.86,3.14,Female,Yes,Sat,Dinner,2,24.174,Medum
25.28,5.0,Female,Yes,Sat,Dinner,2,22.752000000000002,High
14.73,2.2,Female,No,Sat,Dinner,2,13.257000000000001,Medum
10.51,1.25,Male,No,Sat,Dinner,2,9.459,Low
17.92,3.08,Male,Yes,Sat,Dinner,2,16.128000000000004,Medum
27.2,4.0,Male,No,Thur,Lunch,4,24.48,Medum
22.76,3.0,Male,No,Thur,Lunch,2,20.484,Medum
17.29,2.71,Male,No,Thur,Lunch,2,15.561,Medum
19.44,3.0,Male,Yes,Thur,Lunch,2,17.496000000000002,Medum
16.66,3.4,Male,No,Thur,Lunch,2,14.994,Medum
10.07,1.83,Female,No,Thur,Lunch,1,9.063,Low
32.68,5.0,Male,Yes,Thur,Lunch,2,29.412,High
15.98,2.03,Male,No,Thur,Lunch,2,14.382000000000001,Medum
34.83,5.17,Female,No,Thur,Lunch,4,31.346999999999998,High
13.03,2.0,Male,No,Thur,Lunch,2,11.727,Medum
18.28,4.0,Male,No,Thur,Lunch,2,16.452,Medum
24.71,5.85,Male,No,Thur,Lunch,2,22.239,High
21.16,3.0,Male,No,Thur,Lunch,2,19.044,Medum
28.97,3.0,Male,Yes,Fri,Dinner,2,26.073,Medum
22.49,3.5,Male,No,Fri,Dinner,2,20.241,Medum
5.75,1.0,Female,Yes,Fri,Dinner,2,5.175,Low
16.32,4.3,Female,Yes,Fri,Dinner,2,14.688,Medum
22.75,3.25,Female,No,Fri,Dinner,2,20.475,Medum
40.17,4.73,Male,Yes,Fri,Dinner,4,36.153000000000006,Medum
27.28,4.0,Male,Yes,Fri,Dinner,2,24.552000000000003,Medum
12.03,1.5,Male,Yes,Fri,Dinner,2,10.827,Low
21.01,3.0,Male,Yes,Fri,Dinner,2,18.909000000000002,Medum
12.46,1.5,Male,No,Fri,Dinner,2,11.214,Low
11.35,2.5,Female,Yes,Fri,Dinner,2,10.215,Medum
15.38,3.0,Female,Yes,Fri,Dinner,2,13.842,Medum
44.3,2.5,Female,Yes,Sat,Dinner,3,39.87,Medum
22.42,3.48,Female,Yes,Sat,Dinner,2,20.178,Medum
20.92,4.08,Female,No,Sat,Dinner,2,18.828000000000003,Medum
15.36,1.64,Male,Yes,Sat,Dinner,2,13.824,Low
20.49,4.06,Male,Yes,Sat,Dinner,2,18.441,Medum
25.21,4.29,Male,Yes,Sat,Dinner,2,22.689,Medum
18.24,3.76,Male,No,Sat,Dinner,2,16.416,Medum
14.31,4.0,Female,Yes,Sat,Dinner,2,12.879000000000001,Medum
14.0,3.0,Male,No,Sat,Dinner,2,12.6,Medum
7.25,1.0,Female,No,Sat,Dinner,1,6.525,Low
38.07,4.0,Male,No,Sun,Dinner,3,34.263,Medum
23.95,2.55,Male,No,Sun,Dinner,2,21.555,Medum
25.71,4.0,Female,No,Sun,Dinner,3,23.139000000000003,Medum
17.31,3.5,Female,No,Sun,Dinner,2,15.578999999999999,Medum
29.93,5.07,Male,No,Sun,Dinner,4,26.937,High
10.65,1.5,Female,No,Thur,Lunch,2,9.585,Low
12.43,1.8,Female,No,Thur,Lunch,2,11.187,Low
24.08,2.92,Female,No,Thur,Lunch,4,21.672,Medum
11.69,2.31,Male,No,Thur,Lunch,2,10.520999999999999,Medum
13.42,1.68,Female,No,Thur,Lunch,2,12.078,Low
14.26,2.5,Male,No,Thur,Lunch,2,12.834,Medum
15.95,2.0,Male,No,Thur,Lunch,2,14.355,Medum
12.48,2.52,Female,No,Thur,Lunch,2,11.232000000000001,Medum
29.8,4.2,Female,No,Thur,Lunch,6,26.82,Medum
8.52,1.48,Male,No,Thur,Lunch,2,7.668,Low
14.52,2.0,Female,No,Thur,Lunch,2,13.068,Medum
11.38,2.0,Female,No,Thur,Lunch,2,10.242,Medum
22.82,2.18,Male,No,Thur,Lunch,3,20.538,Medum
19.08,1.5,Male,No,Thur,Lunch,2,17.172,Low
20.27,2.83,Female,No,Thur,Lunch,2,18.243,Medum
11.17,1.5,Female,No,Thur,Lunch,2,10.053,Low
12.26,2.0,Female,No,Thur,Lunch,2,11.034,Medum
18.26,3.25,Female,No,Thur,Lunch,2,16.434,Medum
8.51,1.25,Female,No,Thur,Lunch,2,7.659,Low
10.33,2.0,Female,No,Thur,Lunch,2,9.297,Medum
14.15,2.0,Female,No,Thur,Lunch,2,12.735000000000001,Medum
16.0,2.0,Male,Yes,Thur,Lunch,2,14.4,Medum
13.16,2.75,Female,No,Thur,Lunch,2,11.844000000000001,Medum
17.47,3.5,Female,No,Thur,Lunch,2,15.722999999999999,Medum
34.3,6.7,Male,No,Thur,Lunch,6,30.869999999999997,High
41.19,5.0,Male,No,Thur,Lunch,5,37.071,High
27.05,5.0,Female,No,Thur,Lunch,6,24.345000000000002,High
16.43,2.3,Female,No,Thur,Lunch,2,14.787,Medum
8.35,1.5,Female,No,Thur,Lunch,2,7.515,Low
18.64,1.36,Female,No,Thur,Lunch,3,16.776,Low
11.87,1.63,Female,No,Thur,Lunch,2,10.683,Low
9.78,1.73,Male,No,Thur,Lunch,2,8.802,Low
7.51,2.0,Male,No,Thur,Lunch,2,6.759,Medum
14.07,2.5,Male,No,Sun,Dinner,2,12.663,Medum
13.13,2.0,Male,No,Sun,Dinner,2,11.817,Medum
17.26,2.74,Male,No,Sun,Dinner,3,15.534000000000002,Medum
24.55,2.0,Male,No,Sun,Dinner,4,22.095000000000002,Medum
19.77,2.0,Male,No,Sun,Dinner,4,17.793,Medum
29.85,5.14,Female,No,Sun,Dinner,5,26.865000000000002,High
48.17,5.0,Male,No,Sun,Dinner,6,43.353,High
25.0,3.75,Female,No,Sun,Dinner,4,22.5,Medum
13.39,2.61,Female,No,Sun,Dinner,2,12.051,Medum
16.49,2.0,Male,No,Sun,Dinner,4,14.841,Medum
21.5,3.5,Male,No,Sun,Dinner,4,19.35,Medum
12.66,2.5,Male,No,Sun,Dinner,2,11.394,Medum
16.21,2.0,Female,No,Sun,Dinner,3,14.589,Medum
13.81,2.0,Male,No,Sun,Dinner,2,12.429,Medum
17.51,3.0,Female,Yes,Sun,Dinner,2,15.759000000000002,Medum
24.52,3.48,Male,No,Sun,Dinner,3,22.068,Medum
20.76,2.24,Male,No,Sun,Dinner,2,18.684,Medum
31.71,4.5,Male,No,Sun,Dinner,4,28.539,Medum
10.59,1.61,Female,Yes,Sat,Dinner,2,9.531,Low
10.63,2.0,Female,Yes,Sat,Dinner,2,9.567,Medum
50.81,10.0,Male,Yes,Sat,Dinner,3,45.729000000000006,High
15.81,3.16,Male,Yes,Sat,Dinner,2,14.229000000000001,Medum
7.25,5.15,Male,Yes,Sun,Dinner,2,6.525,High
31.85,3.18,Male,Yes,Sun,Dinner,2,28.665000000000003,Medum
16.82,4.0,Male,Yes,Sun,Dinner,2,15.138,Medum
32.9,3.11,Male,Yes,Sun,Dinner,2,29.61,Medum
17.89,2.0,Male,Yes,Sun,Dinner,2,16.101000000000003,Medum
14.48,2.0,Male,Yes,Sun,Dinner,2,13.032,Medum
9.6,4.0,Female,Yes,Sun,Dinner,2,8.64,Medum
34.63,3.55,Male,Yes,Sun,Dinner,2,31.167,Medum
34.65,3.68,Male,Yes,Sun,Dinner,4,31.185,Medum
23.33,5.65,Male,Yes,Sun,Dinner,2,20.997,High
45.35,3.5,Male,Yes,Sun,Dinner,3,40.815000000000005,Medum
23.17,6.5,Male,Yes,Sun,Dinner,4,20.853,High
40.55,3.0,Male,Yes,Sun,Dinner,2,36.495,Medum
20.69,5.0,Male,No,Sun,Dinner,5,18.621000000000002,High
20.9,3.5,Female,Yes,Sun,Dinner,3,18.81,Medum
30.46,2.0,Male,Yes,Sun,Dinner,5,27.414,Medum
18.15,3.5,Female,Yes,Sun,Dinner,3,16.335,Medum
23.1,4.0,Male,Yes,Sun,Dinner,3,20.790000000000003,Medum
15.69,1.5,Male,Yes,Sun,Dinner,2,14.121,Low
19.81,4.19,Female,Yes,Thur,Lunch,2,17.829,Medum
28.44,2.56,Male,Yes,Thur,Lunch,2,25.596,Medum
15.48,2.02,Male,Yes,Thur,Lunch,2,13.932,Medum
16.58,4.0,Male,Yes,Thur,Lunch,2,14.921999999999999,Medum
7.56,1.44,Male,No,Thur,Lunch,2,6.803999999999999,Low
10.34,2.0,Male,Yes,Thur,Lunch,2,9.306000000000001,Medum
43.11,5.0,Female,Yes,Thur,Lunch,4,38.799,High
13.0,2.0,Female,Yes,Thur,Lunch,2,11.700000000000001,Medum
13.51,2.0,Male,Yes,Thur,Lunch,2,12.159,Medum
18.71,4.0,Male,Yes,Thur,Lunch,3,16.839000000000002,Medum
12.74,2.01,Female,Yes,Thur,Lunch,2,11.466000000000001,Medum
16.4,2.5,Female,Yes,Thur,Lunch,2,14.76,Medum
20.53,4.0,Male,Yes,Thur,Lunch,4,18.477,Medum
16.47,3.23,Female,Yes,Thur,Lunch,3,14.822999999999999,Medum
26.59,3.41,Male,Yes,Sat,Dinner,3,23.931,Medum
38.73,3.0,Male,Yes,Sat,Dinner,4,34.857,Medum
24.27,2.03,Male,Yes,Sat,Dinner,2,21.843,Medum
12.76,2.23,Female,Yes,Sat,Dinner,2,11.484,Medum
30.06,2.0,Male,Yes,Sat,Dinner,3,27.054,Medum
25.89,5.16,Male,Yes,Sat,Dinner,4,23.301000000000002,High
48.33,9.0,Male,No,Sat,Dinner,4,43.497,High
13.27,2.5,Female,Yes,Sat,Dinner,2,11.943,Medum
28.17,6.5,Female,Yes,Sat,Dinner,3,25.353,High
12.9,1.1,Female,Yes,Sat,Dinner,2,11.610000000000001,Low
28.15,3.0,Male,Yes,Sat,Dinner,5,25.335,Medum
11.59,1.5,Male,Yes,Sat,Dinner,2,10.431000000000001,Low
7.74,1.44,Male,Yes,Sat,Dinner,2,6.966,Low
30.14,3.09,Female,Yes,Sat,Dinner,4,27.126,Medum
12.16,2.2,Male,Yes,Fri,Lunch,2,10.944,Medum
13.42,3.48,Female,Yes,Fri,Lunch,2,12.078,Medum
8.58,1.92,Male,Yes,Fri,Lunch,1,7.722,Low
15.98,3.0,Female,No,Fri,Lunch,3,14.382000000000001,Medum
13.42,1.58,Male,Yes,Fri,Lunch,2,12.078,Low
16.27,2.5,Female,Yes,Fri,Lunch,2,14.643,Medum
10.09,2.0,Female,Yes,Fri,Lunch,2,9.081,Medum
20.45,3.0,Male,No,Sat,Dinner,4,18.405,Medum
13.28,2.72,Male,No,Sat,Dinner,2,11.952,Medum
22.12,2.88,Female,Yes,Sat,Dinner,2,19.908,Medum
24.01,2.0,Male,Yes,Sat,Dinner,4,21.609,Medum
15.69,3.0,Male,Yes,Sat,Dinner,3,14.121,Medum
11.61,3.39,Male,No,Sat,Dinner,2,10.449,Medum
10.77,1.47,Male,No,Sat,Dinner,2,9.693,Low
15.53,3.0,Male,Yes,Sat,Dinner,2,13.977,Medum
10.07,1.25,Male,No,Sat,Dinner,2,9.063,Low
12.6,1.0,Male,Yes,Sat,Dinner,2,11.34,Low
32.83,1.17,Male,Yes,Sat,Dinner,2,29.547,Low
35.83,4.67,Female,No,Sat,Dinner,3,32.247,Medum
29.03,5.92,Male,No,Sat,Dinner,3,26.127000000000002,High
27.18,2.0,Female,Yes,Sat,Dinner,2,24.462,Medum
22.67,2.0,Male,Yes,Sat,Dinner,2,20.403000000000002,Medum
17.82,1.75,Male,No,Sat,Dinner,2,16.038,Low
18.78,3.0,Female,No,Thur,Dinner,2,16.902,Medum
